CODE,NAME,AGES_0-14,AGES_15-64,AGES_65P,AGES_W_15-49,AGES_0,AGES_1-4,AGES_5-9,AGES_10-14,AGES_15-19,AGES_20-24,AGES_25-29,AGES_30-34,AGES_35-39,AGES_40-44,AGES_45-49,AGES_50-54,AGES_55-59,AGES_60-64,AGES_65-69,AGES_70-74,AGES_75-79,AGES_80-84,AGES_85P
620422,会宁县,0.1947,0.6453,0.16,0.1989,0.0111,0.0531,0.0675,0.063,0.0484,0.0387,0.0595,0.0684,0.0479,0.0465,0.0834,0.1117,0.0893,0.0516,0.0582,0.044,0.0328,0.0172,0.0078
620423,景泰县,0.1864,0.6761,0.1375,0.2083,0.01,0.053,0.0641,0.0593,0.0393,0.0337,0.0655,0.0748,0.0649,0.0542,0.0945,0.1123,0.0805,0.0564,0.0513,0.0373,0.0278,0.0142,0.0069
620502,秦州区,0.1839,0.6954,0.1207,0.2461,0.009,0.0494,0.0629,0.0626,0.0584,0.0617,0.0705,0.0808,0.0671,0.0628,0.0894,0.0934,0.0697,0.0415,0.0455,0.0332,0.0218,0.0128,0.0074
620503,麦积区,0.1877,0.686,0.1264,0.228,0.0102,0.0507,0.064,0.0628,0.0548,0.0485,0.0698,0.0792,0.0651,0.0605,0.0908,0.0962,0.0741,0.0469,0.0495,0.0336,0.0221,0.0134,0.0078
620521,清水县,0.24,0.6399,0.1201,0.2159,0.0118,0.0592,0.0837,0.0854,0.0582,0.0492,0.0631,0.066,0.0523,0.0521,0.0862,0.0915,0.0773,0.0439,0.051,0.0357,0.02,0.0095,0.004
620522,秦安县,0.1747,0.6694,0.1558,0.2157,0.0098,0.0449,0.0575,0.0625,0.0607,0.0522,0.0653,0.0602,0.0531,0.0513,0.092,0.1103,0.0801,0.0443,0.0588,0.0428,0.0288,0.0161,0.0094
620523,甘谷县,0.2208,0.6485,0.1307,0.2329,0.0108,0.0547,0.0765,0.0789,0.0641,0.0463,0.0683,0.0697,0.0641,0.0543,0.0858,0.0912,0.0673,0.0374,0.0484,0.0369,0.024,0.0136,0.0078
620524,武山县,0.2312,0.641,0.1278,0.2275,0.0105,0.0546,0.0799,0.0863,0.0639,0.046,0.0625,0.0653,0.0626,0.0536,0.0864,0.095,0.07,0.0356,0.0472,0.0379,0.0231,0.013,0.0065
620525,张家川回族自治县,0.2807,0.6013,0.118,0.2132,0.0155,0.076,0.1043,0.0849,0.0619,0.054,0.0621,0.0628,0.0509,0.0477,0.075,0.0886,0.065,0.0332,0.0453,0.0342,0.0225,0.0107,0.0053
620602,凉州区,0.1859,0.6878,0.1264,0.2186,0.0102,0.0516,0.0629,0.0612,0.0526,0.0426,0.0613,0.0755,0.0618,0.0529,0.0944,0.1097,0.0883,0.0488,0.0537,0.0342,0.022,0.0114,0.0051
620621,民勤县,0.1093,0.7104,0.1803,0.1906,0.0071,0.0332,0.0308,0.0382,0.049,0.0352,0.0443,0.0453,0.0405,0.0577,0.1272,0.1516,0.1068,0.0528,0.0674,0.0526,0.0333,0.0182,0.0089
620622,古浪县,0.195,0.6638,0.1412,0.209,0.0095,0.048,0.0676,0.0698,0.0578,0.0444,0.0557,0.0625,0.0537,0.0483,0.0903,0.1111,0.0844,0.0554,0.0542,0.0405,0.0273,0.0134,0.0058
620623,天祝藏族自治县,0.1698,0.7012,0.129,0.2157,0.0092,0.047,0.0581,0.0556,0.0417,0.0346,0.0616,0.0765,0.0637,0.0589,0.1056,0.1203,0.0871,0.0511,0.053,0.0378,0.0236,0.0108,0.0039
620702,甘州区,0.1582,0.7184,0.1234,0.2405,0.0092,0.047,0.0496,0.0524,0.0474,0.0583,0.0585,0.0847,0.066,0.0619,0.0985,0.1148,0.084,0.0444,0.0529,0.0366,0.0209,0.0093,0.0036
620721,肃南裕固族自治县,0.1362,0.7524,0.1114,0.2235,0.0083,0.038,0.0459,0.0441,0.0363,0.0385,0.0578,0.0902,0.0696,0.0801,0.1122,0.1314,0.0912,0.0451,0.0434,0.0318,0.0216,0.0099,0.0048
620722,民乐县,0.2051,0.6689,0.126,0.207,0.0089,0.0516,0.065,0.0795,0.0548,0.0312,0.0394,0.0689,0.0611,0.0592,0.0916,0.1207,0.09,0.052,0.0549,0.0379,0.022,0.0086,0.0026
620723,临泽县,0.1586,0.6945,0.1469,0.2111,0.008,0.0451,0.0506,0.0549,0.0381,0.0329,0.044,0.0717,0.0589,0.0574,0.113,0.1329,0.0948,0.0507,0.0662,0.0424,0.0249,0.01,0.0034
620724,高台县,0.1482,0.7007,0.1511,0.2125,0.0096,0.0451,0.0454,0.0481,0.0345,0.0329,0.0487,0.0763,0.0609,0.0609,0.1022,0.1368,0.0969,0.0505,0.0649,0.0456,0.0269,0.0098,0.0038
620725,山丹县,0.1845,0.6736,0.1419,0.2084,0.009,0.0491,0.0601,0.0663,0.0486,0.0373,0.0518,0.0757,0.0613,0.0506,0.0928,0.1203,0.0844,0.0507,0.0603,0.042,0.0254,0.0102,0.004
620802,崆峒区,0.1889,0.6837,0.1274,0.242,0.0106,0.0523,0.064,0.062,0.0608,0.0557,0.0684,0.0804,0.0615,0.0585,0.0901,0.0932,0.0731,0.042,0.0472,0.0347,0.0252,0.0138,0.0065
620821,泾川县,0.1952,0.6331,0.1717,0.1925,0.0102,0.0536,0.0679,0.0635,0.0519,0.0399,0.0533,0.0611,0.0417,0.0427,0.0822,0.1101,0.0942,0.0561,0.0627,0.0482,0.036,0.0182,0.0066
620822,灵台县,0.194,0.6503,0.1557,0.1982,0.0092,0.0499,0.0647,0.0703,0.0474,0.0319,0.0536,0.0579,0.0504,0.0522,0.0946,0.1103,0.0944,0.0576,0.0597,0.0458,0.0308,0.0147,0.0047
620823,崇信县,0.1979,0.6792,0.1229,0.2105,0.0106,0.0546,0.0682,0.0645,0.0443,0.0395,0.0765,0.0827,0.0584,0.0503,0.0892,0.111,0.0843,0.0431,0.0482,0.035,0.024,0.0112,0.0045
620825,庄浪县,0.2088,0.6442,0.1471,0.2217,0.0105,0.0539,0.0713,0.073,0.0589,0.0413,0.0547,0.0681,0.0518,0.056,0.0917,0.1052,0.0734,0.0431,0.0557,0.043,0.0272,0.0144,0.0068
620826,静宁县,0.1893,0.6488,0.1619,0.2105,0.01,0.0494,0.0618,0.0681,0.0599,0.0323,0.0546,0.0644,0.0506,0.0528,0.0952,0.1123,0.0827,0.044,0.0585,0.0445,0.032,0.0178,0.009
620881,华亭市,0.2068,0.6817,0.1115,0.2269,0.0103,0.0518,0.0707,0.074,0.0473,0.0341,0.0662,0.0853,0.0705,0.0627,0.0943,0.0993,0.0751,0.0469,0.0461,0.0294,0.0211,0.0109,0.004
