CODE,NAME,GHSL_POP,GHSL_POP_DENS,GHSL_URB,GHSL_POP_30,GHSL_POP_23,GHSL_POP_22,GHSL_POP_21,GHSL_POP_13,GHSL_POP_12,GHSL_POP_11,GHSL_POP_10,GHSL_VAR
350303,涵江区,440127,571.8,0.9216,0.7917,0.0126,0.0073,0.1101,0.0268,0.0455,0.006,0,-0.0823
350304,荔城区,1094516,3913.9,0.9965,0.9518,0.0147,0,0.03,0,0.0032,0.0003,0,0.6241
350305,秀屿区,709585,1252.5,0.9823,0.4274,0.215,0.0729,0.2669,0.0025,0.0141,0.0012,0,0.1735
350322,仙游县,844635,456.8,0.9224,0.6213,0.0829,0.0251,0.1932,0.0219,0.0498,0.0059,0,-0.0668
350402,梅列区,135608,382.2,0.9323,0.4879,0.3399,0.036,0.0687,0.0194,0.04,0.0083,0,-0.3839
350403,三元区,227300,283.4,0.8641,0.8186,0,0.0218,0.0237,0.0725,0.0518,0.0116,0,0.2095
350421,明溪县,100818,58,0.5108,0,0.308,0.0598,0.1429,0.2085,0.2431,0.0376,0,0.0191
350423,清流县,135229,74.5,0.5276,0,0.3663,0.0464,0.1149,0.2088,0.2307,0.0329,0,0.1457
350424,宁化县,270508,111.9,0.6006,0.2575,0.1281,0.0931,0.1219,0.1755,0.1936,0.0303,0,0.0341
350425,大田县,308197,137.6,0.7039,0,0.4387,0.077,0.1881,0.13,0.1446,0.0215,0,0.029
350426,尤溪县,347414,101.2,0.7103,0.1924,0.3492,0.0199,0.1489,0.1059,0.1566,0.0272,0,0.0169
350427,沙县,224600,124.4,0.7371,0.4532,0.0921,0.093,0.0988,0.119,0.1232,0.0208,0,-0.1034
350428,将乐县,147590,65.7,0.6634,0.3501,0.155,0.0715,0.0867,0.1313,0.1742,0.0311,0,0.0183
350429,泰宁县,109382,71.2,0.4724,0,0.414,0,0.0584,0.2661,0.2211,0.0404,0,0.051
350430,建宁县,118720,68.9,0.4537,0,0.3105,0.0985,0.0447,0.2106,0.2947,0.041,0,0.0378
350481,永安市,344345,116.9,0.7883,0.4378,0.0545,0.0759,0.2201,0.0692,0.1234,0.0191,0,-0.0013
350502,鲤城区,377892,7313.1,0.9994,0.9911,0,0,0.0083,0,0.0005,0.0002,0,-0.1178
350503,丰泽区,607900,5331.2,0.9983,0.9482,0.0277,0,0.0224,0,0.0015,0.0002,0,-0.1298
350504,洛江区,188286,505.8,0.9072,0.0709,0.6066,0,0.2297,0.0228,0.0624,0.0076,0,-0.2382
350505,泉港区,318996,1077.5,0.9737,0.5846,0.2432,0,0.1459,0,0.0241,0.0022,0,-0.0996
350521,惠安县,976273,1341.7,0.9759,0.557,0.195,0.0016,0.2223,0.0013,0.0215,0.0012,0,-0.0527
350524,安溪县,1014903,337.5,0.828,0.3359,0.275,0.0321,0.185,0.0758,0.0855,0.0107,0,0.0113
350525,永春县,493442,337.1,0.8579,0.2893,0.3033,0.0615,0.2038,0.0499,0.0805,0.0117,0,0.1678
350526,德化县,262410,118.6,0.7466,0.5633,0.1206,0,0.0627,0.1513,0.083,0.019,0,-0.21
350527,金门县,54575,370.3,0.6203,0,0.2523,0.1316,0.2364,0.1297,0.2419,0.0081,0,#DIV/0!
350581,石狮市,661828,4083.9,0.9963,0.9518,0,0,0.0444,0,0.0036,0.0001,0,-0.0351
350582,晋江市,2078365,3110.2,0.998,0.922,0.0254,0.0047,0.0459,0,0.0019,0.0001,0,0.0082
350583,南安市,1464221,727,0.939,0.5655,0.1568,0.0293,0.1874,0.015,0.0417,0.0043,0,-0.0351
350602,芗城区,537481,2133.4,0.9822,0.8294,0.0771,0.0172,0.0585,0.001,0.0156,0.0012,0,-0.1576
350603,龙文区,149669,1174,0.9675,0.9149,0,0,0.0526,0.005,0.0245,0.003,0,-0.5042
350622,云霄县,420795,408.5,0.8615,0.3327,0.2405,0.0655,0.2228,0.0665,0.0649,0.0072,0,0.0224
350623,漳浦县,816409,401.3,0.8706,0.1402,0.3708,0.0331,0.3265,0.0314,0.0873,0.0107,0,-0.0367
350624,诏安县,605607,475.5,0.917,0.2016,0.3811,0.042,0.2924,0.0232,0.0552,0.0046,0,0.0796
350625,长泰县,209550,232.3,0.8253,0,0.4935,0,0.3318,0.0375,0.1193,0.0179,0,-0.0819
350626,东山县,213020,952.2,0.9603,0,0.6182,0.0456,0.2965,0,0.0373,0.0024,0,-0.0296
